state,age,dx,bsn,exc,exposure,exc_r,bsn_r,mx
Florida,65,91197.59797884813,71975.36075835548,19222.237220492654,8875156.40862423,216.58477141669172,810.9756881401557,1027.5604595568475
Florida,75,116638.25855335958,93902.15400194918,22736.104551410404,4304688.752224504,528.1706961893871,2181.3924166625056,2709.563112851893
Florida,85,134453.71294548386,122236.11905526806,12217.593890215801,1922991.7638603696,635.3430170542807,6356.559677087819,6991.902694142099
Georgia,0,2040.01260815822,2349.073535509504,-309.0609273512838,6764993.783709788,-4.568532318470232,34.72395704436728,30.155424725897056
Georgia,15,2568.01891223733,2054.5111006036755,513.5078116336543,4335269.691307324,11.844887358756296,47.39061804443651,59.2355054031928
Georgia,25,5099.03065512979,3619.5287432020777,1479.5019119277122,4188096.947980835,35.326353002430125,86.42418712267691,121.75054012510704
Georgia,35,7756.044004944376,5281.702483027822,2474.3415219165536,4008033.8617385356,61.73454634545619,131.77789073710113,193.5124370825573
Georgia,45,14152.074412855378,11225.551615948998,2926.52279690638,3912661.5845311433,74.79621566241505,286.9032083001925,361.6994239626075
Georgia,55,30357.159703337453,24152.26317634363,6204.896526993822,3596076.379192334,172.54629414705087,671.6282033411131,844.1744974881641
Georgia,65,44078.212608158225,33674.17953326796,10404.033074890263,2495517.7720739217,416.9087950932083,1349.3864844441778,1766.295279537386
Georgia,75,47816.23399258344,37023.89898735461,10792.335005228822,1173351.8145106093,919.7867912898889,3155.3962357655555,4075.183027055445
Georgia,85,43434.21310259579,37869.83774474172,5564.375357854073,449672.8932238193,1237.4273481244668,8421.64122307734,9659.068571201808
Hawaii,0,176.01373895976448,245.43963083289682,-69.42589187313233,794043.0807665982,-8.743340702132437,30.91011517862991,22.166774476497466
Hawaii,15,157.00294406280668,158.81387877422736,-1.8109347114206713,520766.1115674196,-0.34774434649175967,30.496200740909185,30.148456394417423
Hawaii,25,374.0107948969578,335.6747892273442,38.3360056696136,546452.2758384668,7.015435265740544,61.42801559610867,68.44345086184921
Hawaii,35,648.0235525024534,549.2313307608696,98.79222174158383,454138.8596851472,21.753747699563988,120.9390738202077,142.69282151977168
Hawaii,45,1238.0510304219824,1112.9002868648508,125.15074355713153,418300.45790554414,29.918863628256332,266.0528492933549,295.97171292161124
Hawaii,55,2706.1030421982337,2461.013553277894,245.08948892033936,494205.9055441478,49.59258603971605,497.97331955557735,547.5659055952934
Hawaii,65,4476.195289499509,3808.5252519683086,667.6700375312009,439503.1115674196,151.9147464394642,866.5525116274592,1018.4672580669234
Hawaii,75,4873.252208047104,4259.099476217916,614.1527318291892,229881.55783709788,267.16050543923984,1852.7364771192576,2119.8969825584973
Hawaii,85,7788.347399411187,7740.371887075695,47.97551233549211,98615.73169062287,48.64894425364182,7849.023431026987,7897.672375280629
Idaho,0,231,324.59435484567473,-93.5943548456747,1075979.900752909,-8.698522600671513,30.167325116253775,21.468802515582258
Idaho,15,357,356.5426181178868,0.4573818821132245,606319.4483230663,0.07543579269611633,58.8044172265953,58.87985301929141
Idaho,25,613,473.473261694183,139.526738305817,609796.6016427105,22.880865181923056,77.64445725323974,100.5253224351628
Idaho,35,950,707.9735141122195,242.0264858877805,723527.1806981519,33.450918271548865,97.85029961543059,131.30121788697946
Idaho,45,1614,1336.7153353093531,277.2846646906469,586454.0663928816,47.28156569808595,227.93180436638855,275.2133700644745
Idaho,55,3844,3186.5197787704324,657.4802212295676,582262.8199863108,112.91811853022406,547.2648552152701,660.1829737454941
Idaho,65,6707,5287.437571551099,1419.5624284489013,471226.25393566047,301.24858634101554,1122.0592077352776,1423.307794076293
Idaho,75,8432,7021.589301966769,1410.4106980332308,225753.88295687886,624.7558976882062,3110.285063538845,3735.040961227051
Idaho,85,9224,8590.249028632383,633.7509713676172,93190.31279945243,680.0609981119637,9217.963509918445,9898.024508030408
Illinois,0,1767.157103788276,2112.6061900227473,-345.4490862344719,7735704.375085558,-4.4656448784038645,27.30981029764832,22.84416541924446
Illinois,15,2423.2253953944446,2120.6783752466335,302.54702014781117,4794018.647501711,6.310927061276167,44.23592253550734,50.5468495967835
Illinois,25,4652.441639977782,3813.5309336273067,838.9107063504748,5133088.744010951,16.343195066114465,74.2931035056964,90.63629857181085
