phase,state,age,dx,dx_all,exc_tot,bsn_tot,cx_bsn,bsn,exc
1,Arkansas,85,2691.4901303538177,11205,183.61314,11021.38686,0.2533892240057254,2792.7006639222986,-101.21053356848097
1,California,0,817.0657228551902,99335,7934.867684,91400.132316,0.01024465703639983,936.3630086589849,-119.2972858037947
1,California,15,1205.097937678611,99335,7934.867684,91400.132316,0.011035472667279818,1008.6436619589768,196.4542757196342
1,California,25,2235.186835934774,99335,7934.867684,91400.132316,0.020168277633304494,1843.3832442698542,391.80359166491985
1,California,35,3119.2586998454626,99335,7934.867684,91400.132316,0.02765871471388092,2528.0101845392123,591.2485153062503
1,California,45,5695.463706243256,99335,7934.867684,91400.132316,0.057551049751971464,5260.173562254891,435.29014398836443
1,California,55,12604.017883281927,99335,7934.867684,91400.132316,0.1269705315818048,11605.123386809815,998.8944964721122
1,California,65,18543.49832762298,99335,7934.867684,91400.132316,0.18096291099481632,16540.03400921474,2003.464318408238
1,California,75,22924.82549985759,99335,7934.867684,91400.132316,0.22886551424087898,20918.33828418572,2006.4872156718702
1,California,85,32190.585386680214,99335,7934.867684,91400.132316,0.3365428713796634,30760.062974107805,1430.522412572409
1,Colorado,0,181,15798,1942.623056,13855.376944,0.011786718170687544,163.30942318757005,17.690576812429953
1,Colorado,15,236,15798,1942.623056,13855.376944,0.014494128196726965,200.82160964031107,35.17839035968893
1,Colorado,25,470,15798,1942.623056,13855.376944,0.027505216506578833,381.0951426249806,88.90485737501939
1,Colorado,35,583,15798,1942.623056,13855.376944,0.03391160392488231,469.85805515487425,113.14194484512575
1,Colorado,45,967,15798,1942.623056,13855.376944,0.060097604718136195,832.6749668012899,134.32503319871012
1,Colorado,55,1988,15798,1942.623056,13855.376944,0.13160254531031748,1823.4028720642882,164.5971279357118
1,Colorado,65,3024,15798,1942.623056,13855.376944,0.18538860818431083,2568.62904751715,455.37095248285004
1,Colorado,75,3645,15798,1942.623056,13855.376944,0.22606873717429168,3132.2675688038767,512.7324311961233
1,Colorado,85,4704,15798,1942.623056,13855.376944,0.3091448378140682,4283.31825820566,420.68174179434027
1,Connecticut,0,55.00700466977985,15010,4407.10435,10602.89565,0.0068196763040112,72.30831621820843,-17.30131154842858
1,Connecticut,15,98.00767178118745,15010,4407.10435,10602.89565,0.008325732346265617,88.27687127728402,9.730800503903438
1,Connecticut,25,237.01734489659773,15010,4407.10435,10602.89565,0.018518125702649386,196.3457544587744,40.67159043782334
1,Connecticut,35,315.0273515677118,15010,4407.10435,10602.89565,0.024181744903803322,256.3965178499459,58.63083371776588
1,Connecticut,45,653.0460306871247,15010,4407.10435,10602.89565,0.0504953015293893,535.3964129314002,117.64961775572453
1,Connecticut,55,1597.106737825217,15010,4407.10435,10602.89565,0.11039815030863542,1170.5400676754766,426.5666701497403
1,Connecticut,65,2482.160106737825,15010,4407.10435,10602.89565,0.1601510298453641,1698.0646576904314,784.0954490473937
1,Connecticut,75,3625.241494329553,15010,4407.10435,10602.89565,0.22360689816091467,2370.880607820355,1254.3608865091978
1,Connecticut,85,5947.386257505003,15010,4407.10435,10602.89565,0.397503340898967,4214.686444078125,1732.6998134268788
1,Delaware,0,29,3816,646.313239,3169.686761,0.010318882121103547,32.70762404758151,-3.707624047581511
1,Delaware,15,33,3816,646.313239,3169.686761,0.010498029380150483,33.27546474285202,-0.27546474285202294
1,Delaware,25,80,3816,646.313239,3169.686761,0.025152275170189895,79.72483361597993,0.27516638402006777
1,Delaware,35,118,3816,646.313239,3169.686761,0.030670010748835543,97.21432703031172,20.785672969688278
1,Delaware,45,202,3816,646.313239,3169.686761,0.05868864206377642,186.02461177061983,15.975388229380172
1,Delaware,55,463,3816,646.313239,3169.686761,0.12877104980293802,408.1638917604443,54.8361082395557
1,Delaware,65,772,3816,646.313239,3169.686761,0.19656037262629883,623.0348108508061,148.96518914919386
1,Delaware,75,920,3816,646.313239,3169.686761,0.24106055177355787,764.0864395560014,155.91356044399856
1,Delaware,85,1199,3816,646.313239,3169.686761,0.2982801863131494,945.454757625403,253.54524237459702
1,District of Columbia,0,58,2810,752.0451,2057.9548999999997,0.01563758389261745,32.18144239597315,25.81855760402685
1,District of Columbia,15,50,2810,752.0451,2057.9548999999997,0.015838926174496646,32.595795731543625,17.404204268456375
1,District of Columbia,25,83,2810,752.0451,2057.9548999999997,0.03,61.738646999999986,21.261353000000014
1,District of Columbia,35,114,2810,752.0451,2057.9548999999997,0.04046979865771812,83.28502044966442,30.714979550335585
1,District of Columbia,45,215,2810,752.0451,2057.9548999999997,0.08228187919463087,169.33239646979862,45.667603530201376
1,District of Columbia,55,501,2810,752.0451,2057.9548999999997,0.17671140939597316,363.6641108523489,137.33588914765107
1,District of Columbia,65,669,2810,752.0451,2057.9548999999997,0.19476510067114094,400.81779327516773,268.18220672483227
1,District of Columbia,75,503,2810,752.0451,2057.9548999999997,0.1885234899328859,387.9728398724831,115.02716012751688
