state,age,dx,bsn,exc,exposure,exc_r,bsn_r,mx
California,25,26702.527364888116,18355.04227568148,8347.485089206635,21460225.935660508,38.89747067077984,85.53051738929209,124.42798806007193
California,35,37453.149701265436,25172.049249557895,12281.100451707538,18589807.577686515,66.06362330747648,135.40779884011332,201.4714221475898
California,45,63067.64098413703,52376.90448404469,10690.73650009234,16466655.565366188,64.9235447820858,318.07858175042793,383.0021265325138
California,55,134763.72132828322,115555.20591908503,19208.515409198204,16214403.579739904,118.46575370308088,712.6700982296547,831.1358519327355
California,65,202962.44409403208,164693.38344267974,38269.06065135234,12336459.409993155,310.21105310290625,1335.0133775763068,1645.2244306792131
California,75,248934.83274846332,208289.2880451004,40645.54470336294,6319644.382614648,643.161897134258,3295.902038698642,3939.0639358329
California,85,331120.487687222,306285.8784506348,24834.609236587257,2856996.494182067,869.255852681653,10720.55492802842,11589.810780710073
Colorado,0,1625.0133944720808,1642.6028457604198,-17.589451288339006,3753326.306639288,-0.46863634683786726,43.76392329264862,43.29528694581076
Colorado,15,2501.0236877202906,2019.908839592733,481.1148481275576,2391275.790554415,20.11958846520215,84.46992386120462,104.58951232640676
Colorado,25,5005.050856315173,3833.140510589422,1171.9103457257518,2460447.9308692673,47.62995920469327,155.79035274423333,203.4203119489266
Colorado,35,6742.074648064878,4725.93781446652,2016.1368335983582,2358582.110882957,85.48088380283689,200.37198589186795,285.85286969470485
Colorado,45,9711.11207256408,8375.231773921088,1335.8802986429903,2152317.1362080765,62.06707534729414,389.1262878051726,451.19336315246676
Colorado,55,19897.245143284348,18340.19549000826,1557.0496532760867,2007986.2498288844,77.5428443998944,913.3626035323283,990.9054479322227
Colorado,65,31636.40367994458,25835.847685950837,5800.55599399374,1542070.8932238193,376.1536528237833,1675.399477383234,2051.553130207017
Colorado,75,37741.487990430905,31505.050484998137,6236.437505432764,734223.4264202601,849.3923349516101,4290.935068444009,5140.3274033956195
Colorado,85,44948.588527203676,43082.57676071258,1866.0117664910883,323842.2183436003,576.2101606255761,13303.570171015035,13879.780331640612
Connecticut,0,694.0409970619532,741.6319464724137,-47.59094941046049,2298403.5845311433,-2.0706089100608795,32.26726374183327,30.19665483177239
Connecticut,15,876.0399560807973,905.4138071241754,-29.37385104337811,1392897.0266940452,-2.1088314843413176,65.0022068948714,62.89337541053009
Connecticut,25,2181.1134749830153,2013.8248499857455,167.2886249972699,1615694.0054757015,10.353979431149517,124.64147562352466,134.99545505467415
Connecticut,35,3374.1811492780116,2629.736917507159,744.4442317708528,1590106.359342916,46.81726020380684,165.38119617318256,212.19845637698938
Connecticut,45,5683.285792687178,5491.305905373501,191.97988731367627,1499473.5742642027,12.803152426869646,366.2155838970424,379.0187363239121
Connecticut,55,13623.701971109545,12005.671743128078,1618.030227981467,1614779.850787132,100.20128918457526,743.4865958524226,843.687885036998
Connecticut,65,20229.036977242158,17416.24011156057,2812.7968656815865,1167505.832991102,240.92358138162925,1491.747588698626,1732.6711700802553
Connecticut,75,28450.44834549972,24316.99273324712,4133.455612252599,679575.1772758384,608.2411115753329,3578.2638251627736,4186.504936738107
Connecticut,85,43432.15133605762,43228.030671601235,204.12066445638175,353763.3333333333,57.699779831068355,12219.477429807472,12277.177209638541
Delaware,0,383,340.77122989036184,42.22877010963815,602857.7296372347,7.004765475106209,56.525978375597575,63.53074385070379
Delaware,15,363,346.6873970759584,16.312602924041585,366646.8891170431,4.44913168725514,94.55620853918848,99.00534022644361
Delaware,25,823,830.6298728577569,-7.629872857756993,370307.23750855576,-2.060416887633936,224.30830097901222,222.24788409137832
Delaware,35,1205,1012.8478221741311,192.15217782586888,393937.60027378506,48.77731338474009,257.1086947451083,305.88600812984845
Delaware,45,1987,1938.1363700014329,48.86362999856706,402477.7631759069,12.140703032383612,481.55116812114443,493.69187115352804
